               E1 ,                E2
    26.3015888397 ,       2234.633579
    588.232545945 ,     1956.03003992
    2558.06395906 ,     3862.95913119
    4572.96300245 ,      7330.8548776
    1164.79958518 ,     3272.39324202
   0.464311954777 ,     3273.14508947
    2805.28385583 ,     1.48780724406
    20680.0221629 ,     2900.82625698
    11519.8662051 ,     9914.70110868
    15222.2658596 ,     4352.16767385
    25355.0456306 ,     32211.9055574
    655.809280974 ,     2881.63506262
    10527.6790461 ,     9481.82879705
    4758.26757488 ,     665.905280743
    668.575266968 ,     9622.06601601
    157.976950849 ,     41.1944327462
    12469.3938069 ,     1632.36467257
    45096.3522277 ,      32495.292964
    146.178391615 ,     2112.77679203
    2815.12163044 ,     90.8076399566
    1052.48315975 ,     1850.64907515
    7764.65032043 ,     27949.2247733
    9036.39480599 ,     1152.72728275
    11307.1816845 ,     2316.79591036
    20617.5737121 ,     23595.6621938
    35.4701480708 ,     2020.23551328
    2091.67512345 ,     183.027309848
     6.9877785217 ,     383.797917413
    1429.07385593 ,     4980.07532425
    25693.6604428 ,     19022.8905857
     2981.0495535 ,     434.043861175
    31.3042384899 ,     4280.62790367
    1917.81536333 ,     506.551779644
    7853.65457047 ,       18076.43365
     8564.2422559 ,       4336.409809
    1336.23394596 ,     93.9500465543
    3600.29045156 ,     5674.13904733
    62.9911930952 ,     2760.28243467
    4117.80512115 ,     129.602327427
    127064.810956 ,     66549.6040308
    6791.95534229 ,   0.0404683668243
    2996.07838567 ,     25.7353687864
      5424.536911 ,     12498.3277352
    31151.1915102 ,     1107.05265074
    30303.1969854 ,     15540.4342659
    3663.85268476 ,     7918.14957654
    32.2503754458 ,     2291.85532954
    19626.6679074 ,     9745.72321058
    3363.97272551 ,     459.567304242
    17719.6268514 ,     98.2781411539
     10413.774861 ,     1020.28938786
    8481.89602811 ,     1.05600074263
    7719.04505269 ,     9300.02247018
    512.772471433 ,     678.826932216
    2358.42518046 ,     627.668429429
    3854.66943547 ,     13032.6185593
     733.26627718 ,      452.02551134
    35311.0775356 ,     610.095148788
    13070.6410002 ,     6132.34386906
    331.289362276 ,     98.3875501552
